cfg_idx,seed,training.num_epochs,optimizer.lr,dataloader.batch_size,policy.Conditional_ConsistencyFM.num_segments,policy.Conditional_ConsistencyFM.eps,policy.Conditional_ConsistencyFM.delta,n_action_steps,n_obs_steps,test_mean_score,mean_n_completed_tasks,mean_time,mean_success_rates,SR_test_L3,SR_test_L5,status,t_train_s,t_infer_s,timestamp
0,0,500,0.001,256,2,0.001,0.001,2,4,0.0,0.0,0.006554342167718069,0.0,0.0,0.0,ok,1257.49,124.26,1776529248
0,42,500,0.001,256,2,0.001,0.001,2,4,0.0,0.0,0.006555342299597604,0.0,0.0,0.0,ok,1265.27,125.47,1776530639
0,101,500,0.001,256,2,0.001,0.001,2,4,0.0,0.0,0.006465276650020055,0.0,0.0,0.0,ok,1266.32,124.92,1776532030
1,0,5000,0.001,64,1,0.001,0.001,2,6,0.005,0.02,0.006716353212084089,0.005,0.005,0.005,ok,34898.76,128.74,1776567058
1,42,5000,0.001,64,1,0.001,0.001,2,6,0.005,0.02,0.00674279134614127,0.005,0.005,0.005,ok,35475.49,129.13,1776602662
1,101,5000,0.001,64,1,0.001,0.001,2,6,0.0,0.0,0.006538911410740445,0.0,0.0,0.0,ok,34799.15,129.4,1776637591
2,0,5000,0.0001,512,3,0.01,0.001,8,8,0.0,0.0,0.006969437190464566,0.0,0.0,0.0,ok,14128.82,67.98,1776651788
2,42,5000,0.0001,512,3,0.01,0.001,8,8,0.005,0.02,0.006999132837568011,0.005,0.005,0.005,ok,14405.93,73.73,1776666267
2,101,5000,0.0001,512,3,0.01,0.001,8,8,0.005,0.02,0.007104593685695103,0.005,0.005,0.005,ok,14624.34,71.87,1776680964
3,0,3000,0.0001,128,3,0.01,0.01,8,4,0.455,1.82,0.006982516432856466,0.455,0.455,0.455,ok,12266.61,70.03,1776693300
3,42,3000,0.0001,128,3,0.01,0.01,8,4,0.24,0.96,0.006844453266688756,0.24,0.24,0.24,ok,11982.89,68.22,1776705351
3,101,3000,0.0001,128,3,0.01,0.01,8,4,0.33,1.32,0.006869465180805753,0.33,0.33,0.33,ok,11950.6,68.59,1776717371
4,0,3000,1e-05,256,1,1.0,0.01,8,4,,,,,,,train_failed_rc1,8.4,0.0,1776717379
4,42,3000,1e-05,256,1,1.0,0.01,8,4,,,,,,,train_failed_rc1,8.47,0.0,1776717387
4,101,3000,1e-05,256,1,1.0,0.01,8,4,,,,,,,train_failed_rc1,8.39,0.0,1776717396
5,0,3000,1e-05,128,1,0.01,0.001,6,4,0.005,0.02,0.006906717483033525,0.005,0.005,0.005,ok,11755.98,78.23,1776729230
5,42,3000,1e-05,128,1,0.01,0.001,6,4,0.0,0.0,0.006915606945119005,0.0,0.0,0.0,ok,11806.61,78.89,1776741116
5,101,3000,1e-05,128,1,0.01,0.001,6,4,0.0,0.0,0.007000003368296521,0.0,0.0,0.0,ok,11946.86,79.56,1776753142
6,0,1000,0.001,512,3,1.0,0.0001,4,8,,,,,,,train_failed_rc1,8.24,0.0,1776753150
6,42,1000,0.001,512,3,1.0,0.0001,4,8,,,,,,,train_failed_rc1,8.16,0.0,1776753158
6,101,1000,0.001,512,3,1.0,0.0001,4,8,,,,,,,train_failed_rc1,8.11,0.0,1776753166
7,0,3000,0.0001,256,1,0.001,0.001,4,16,0.0,0.0,0.0068820629801069,0.0,0.0,0.0,ok,11844.34,93.95,1776765105
7,42,3000,0.0001,256,1,0.001,0.001,4,16,0.0,0.0,0.006842782361166818,0.0,0.0,0.0,ok,11809.54,92.71,1776777007
